watershed,duplicate,sample_id,ftms_name,treatment,date,trip
ct01,no,HOTW_0001,Sample1_erin_mass_listhotw_0001_5ppm_8m_000001.csv,control,2023-06-05,june
ct02,no,HOTW_0002,Sample2_erin_mass_listhotw_0002_5ppm_8m_000002.csv,control,2023-06-05,june
rb01,no,HOTW_0003,Sample3_erin_mass_listhotw_0003_5ppm_8m_000002.csv,burn,2023-06-06,june
rb02,no,HOTW_0004,Sample6_erin_mass_listhotw_0004_5ppm_8m_000003.csv,burn,2023-06-06,june
rb03,no,HOTW_0005,Sample8_erin_mass_listhotw_0005_5ppm_8m_000002.csv,burn,2023-06-07,june
rb04,no,HOTW_0006,Sample9_erin_mass_listhotw_0006_5ppm_8m_000002.csv,burn,2023-06-07,june
rb05,no,HOTW_0007,Sample10_erin_mass_listhotw_0007_5ppm_8m_000002.csv,burn,2023-06-07,june
ct03,no,HOTW_0008,Sample11_erin_mass_listhotw_0008_5ppm_8m_000001.csv,control,2023-06-14,june
rb06,no,HOTW_0009,Sample12_erin_mass_listhotw_0009_5ppm_8m_000001.csv,burn,2023-06-14,june
rb07,no,HOTW_0010,Sample13_erin_mass_listhotw_0010_5ppm_8m_000001.csv,burn,2023-06-11,june
rb08,no,HOTW_0011,Sample14_erin_mass_listhotw_0010_5ppm_8m_000002.csv,burn,2023-06-12,june
rb09,no,HOTW_0012,Sample15_erin_mass_listhotw_0012_5ppm_8m_000001.csv,burn,2023-06-12,june
rb10,no,HOTW_0013,Sample16_erin_mass_listhotw_0013_5ppm_8m_000001.csv,burn,2023-06-12,june
ct04,no,HOTW_0014,Sample17_erin_mass_listhotw_0014_5ppm_8m_000001.csv,control,2023-06-14,june
ct05,no,HOTW_0015,Sample18_erin_mass_listhotw_0015_5ppm_8m_000001.csv,control,2023-06-14,june
ct06,no,HOTW_0016,Sample19_erin_mass_listhotw_0016_5ppm_8m_000001.csv,control,2023-06-15,june
ct07,no,HOTW_0017,Sample20_erin_mass_listhotw_0017_5ppm_8m_000001.csv,control,2023-06-15,june
ct08,no,HOTW_0018,Sample21_erin_mass_listhotw_0018_5ppm_8m_000001.csv,control,2023-06-15,june
ct09,no,HOTW_0019,Sample22_erin_mass_listhotw_0019_5ppm_8m_000001.csv,control,2023-06-18,june
ct10,no,HOTW_0020,Sample23_erin_mass_listhotw_0020_5ppm_8m_000001.csv,control,2023-06-18,june
ct01,yes,HOTW_0021,Sample24_erin_mass_listhotw_0021_5ppm_8m_000001.csv,control,2023-06-05,june
rb09,yes,HOTW_0022,Sample25_erin_mass_listhotw_0022_5ppm_8m_000001.csv,burn,2023-06-12,june
rb01,no,HOTW_0023,Sample26_erin_mass_listhotw_0023_5ppm_8m_000001.csv,burn,2023-07-20,july
rb02,no,HOTW_0024,Sample27_erin_mass_listhotw_0024_5ppm_8m_000001.csv,burn,2023-07-22,july
rb03,no,HOTW_0025,Sample28_erin_mass_listhotw_0025_5ppm_8m_000001.csv,burn,2023-07-22,july
rb04,no,HOTW_0026,Sample29_erin_mass_listhotw_0026_5ppm_8m_000001.csv,burn,2023-07-21,july
rb05,no,HOTW_0027,Sample30_erin_mass_listhotw_0027_5ppm_8m_000001.csv,burn,2023-07-21,july
ct03,no,HOTW_0028,Sample31_erin_mass_listhotw_0028_5ppm_8m_000001.csv,control,2023-07-24,july
rb06,no,HOTW_0029,Sample32_erin_mass_listhotw_0029_5ppm_8m_000001.csv,burn,2023-07-19,july
rb07,no,HOTW_0030,Sample33_erin_mass_listhotw_0030_5ppm_8m_000001.csv,burn,2023-07-20,july
rb08,no,HOTW_0031,Sample34_erin_mass_listhotw_0031_5ppm_8m_000001.csv,burn,2023-07-22,july
rb09,no,HOTW_0032,Sample35_erin_mass_listhotw_0032_5ppm_8m_000001.csv,burn,2023-07-22,july
rb10,no,HOTW_0033,Sample36_erin_mass_listhotw_0033_5ppm_8m_000001.csv,burn,2023-07-21,july
ct04,no,HOTW_0034,Sample37_erin_mass_listhotw_0034_5ppm_8m_000001.csv,control,2023-07-24,july
ct05,no,HOTW_0035,Sample38_erin_mass_listhotw_0035_5ppm_8m_000001.csv,control,2023-07-24,july
ct06,no,HOTW_0036,Sample39_erin_mass_listhotw_0036_5ppm_8m_000001.csv,control,2023-07-26,july
ct07,no,HOTW_0037,Sample40_erin_mass_listhotw_0037_5ppm_8m_000001.csv,control,2023-07-26,july
ct08,no,HOTW_0038,Sample41_erin_mass_listhotw_0038_5ppm_8m_000001.csv,control,2023-07-26,july
ct09,no,HOTW_0039,Sample42_erin_mass_listhotw_0039_5ppm_8m_000001.csv,control,2023-07-23,july
ct10,no,HOTW_0040,Sample43_erin_mass_listhotw_0040_5ppm_8m_000001.csv,control,2023-07-23,july
ct01,no,HOTW_0041,Sample44_erin_mass_listhotw_0041_5ppm_8m_000001.csv,control,2023-07-25,july
ct02,no,HOTW_0042,Sample45_erin_mass_listhotw_0042_5ppm_8m_000001.csv,control,2023-07-25,july
rb01,yes,HOTW_0043,Sample46_erin_mass_listhotw_0043_5ppm_8m_000001.csv,burn,2023-07-20,july
ct10,yes,HOTW_0044,Sample47_erin_mass_listhotw_0044_5ppm_8m_000001.csv,control,2023-07-23,july
rb01,no,HOTW_0045,Sample48_erin_mass_listhotw_0045_5ppm_8m_000001.csv,burn,2023-08-29,august
rb02,no,HOTW_0046,Sample49_erin_mass_listhotw_0046_5ppm_8m_000001.csv,burn,2023-08-31,august
rb03,no,HOTW_0047,Sample50_erin_mass_listhotw_0047_5ppm_8m_000001.csv,burn,2023-08-31,august
rb04,no,HOTW_0048,Sample51_erin_mass_listhotw_0048_5ppm_8m_000001.csv,burn,2023-08-30,august
rb05,no,HOTW_0049,Sample52_erin_mass_listhotw_0049_5ppm_8m_000001.csv,burn,2023-08-30,august
rb06,no,HOTW_0050,Sample54_erin_mass_listhotw_0050_5ppm_8m_000001.csv,burn,2023-08-28,august
rb07,no,HOTW_0051,Sample55_erin_mass_listhotw_0051_5ppm_8m_000001.csv,burn,2023-08-29,august
rb08,no,HOTW_0052,Sample56_erin_mass_listhotw_0052_5ppm_8m_000001.csv,burn,2023-08-31,august
rb09,no,HOTW_0053,Sample57_erin_mass_listhotw_0053_5ppm_8m_000001.csv,burn,2023-08-31,august
rb10,no,HOTW_0054,Sample58_erin_mass_listhotw_0054_5ppm_8m_000001.csv,burn,2023-08-30,august
ct01,no,HOTW_0055,Sample59_erin_mass_listhotw_0055_5ppm_8m_000001.csv,control,2023-09-04,august
ct02,no,HOTW_0056,Sample60_erin_mass_listhotw_0056_5ppm_8m_000001.csv,control,2023-09-04,august
ct03,no,HOTW_0057,Sample61_erin_mass_listhotw_0057_5ppm_8m_000001.csv,control,2023-09-03,august
ct04,no,HOTW_0058,Sample62_erin_mass_listhotw_0058_5ppm_8m_000001.csv,control,2023-09-03,august
ct05,no,HOTW_0059,Sample63_erin_mass_listhotw_0059_5ppm_8m_000001.csv,control,2023-09-03,august
ct06,no,HOTW_0060,Sample64_erin_mass_listhotw_0060_5ppm_8m_000001.csv,control,2023-09-05,august
ct07,no,HOTW_0061,Sample65_erin_mass_listhotw_0061_5ppm_8m_000001.csv,control,2023-09-05,august
ct08,no,HOTW_0062,Sample66_erin_mass_listhotw_0062_5ppm_8m_000001.csv,control,2023-09-05,august
ct09,no,HOTW_0063,Sample67_erin_mass_listhotw_0063_5ppm_8m_000001.csv,control,2023-09-02,august
ct10,no,HOTW_0064,Sample68_erin_mass_listhotw_0064_5ppm_8m_000001.csv,control,2023-09-02,august
rb04,yes,HOTW_0065,Sample69_erin_mass_listhotw_0065_5ppm_8m_000001.csv,burn,2023-08-30,august
ct07,yes,HOTW_0066,Sample70_erin_mass_listhotw_0066_5ppm_8m_000001.csv,control,2023-09-05,august
